job_position,job_link,job_id,company_name,company_profile,job_location,job_posting_date
Data Protection Cyber Security Engineer,https://www.linkedin.com/jobs/view/data-protection-cyber-security-engineer-at-spruce-technology-inc-3780086280?refId=KiIV5SxU7BEw6Y1IgoZ%2F9w%3D%3D&trackingId=nuHqreRCz3btowu4PTPDNw%3D%3D&position=5&pageNum=5&trk=public_jobs_jserp-result_search-card,3780086280,"Spruce Technology, Inc.",https://www.linkedin.com/company/spruce-technology-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Alpharetta, GA",2023-11-18
AI Engineer,https://www.linkedin.com/jobs/view/ai-engineer-at-thunkable-3772669541?refId=KiIV5SxU7BEw6Y1IgoZ%2F9w%3D%3D&trackingId=v7Xb4sQfvZk4cA9raJp9vQ%3D%3D&position=6&pageNum=5&trk=public_jobs_jserp-result_search-card,3772669541,Thunkable,https://www.linkedin.com/company/thunkable?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY",2023-11-28
Quality Engineer Tech Lead,https://www.linkedin.com/jobs/view/quality-engineer-tech-lead-at-american-honda-motor-company-inc-3757488840?refId=KiIV5SxU7BEw6Y1IgoZ%2F9w%3D%3D&trackingId=TOxI%2BT4rT6%2BFdagvjNgXwA%3D%3D&position=7&pageNum=5&trk=public_jobs_jserp-result_search-card,3757488840,"American Honda Motor Company, Inc.",https://www.linkedin.com/company/american-honda-motor-company-inc-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Torrance, CA",2023-11-03
Sales Engineer,https://www.linkedin.com/jobs/view/sales-engineer-at-jw-industrial-partners-3784029310?refId=KiIV5SxU7BEw6Y1IgoZ%2F9w%3D%3D&trackingId=dhsRU5uKg86Qc6myuZSkhw%3D%3D&position=8&pageNum=5&trk=public_jobs_jserp-result_search-card,3784029310,JW Industrial Partners,https://www.linkedin.com/company/jw-industrial-partners?trk=public_jobs_jserp-result_job-search-card-subtitle,Greater Sioux Falls Area,2023-12-18
Sr Quality Engineer,https://www.linkedin.com/jobs/view/sr-quality-engineer-at-reckitt-3729409106?refId=KiIV5SxU7BEw6Y1IgoZ%2F9w%3D%3D&trackingId=OpoHNjff8exCkBc4tLfUYg%3D%3D&position=9&pageNum=5&trk=public_jobs_jserp-result_search-card,3729409106,Reckitt,https://uk.linkedin.com/company/reckitt?trk=public_jobs_jserp-result_job-search-card-subtitle,"Evansville, IN",2023-11-30
Support Engineer,https://www.linkedin.com/jobs/view/support-engineer-at-eide-bailly-llp-3785824847?refId=KiIV5SxU7BEw6Y1IgoZ%2F9w%3D%3D&trackingId=s1Mau3XSu80sYwwddwWJyA%3D%3D&position=10&pageNum=5&trk=public_jobs_jserp-result_search-card,3785824847,Eide Bailly LLP,https://www.linkedin.com/company/eide-bailly-llp?trk=public_jobs_jserp-result_job-search-card-subtitle,"Denver, CO",2023-12-13
Sr. Prompt Engineer,https://www.linkedin.com/jobs/view/sr-prompt-engineer-at-khan-academy-3784875701?refId=KiIV5SxU7BEw6Y1IgoZ%2F9w%3D%3D&trackingId=0yZH%2FrlfVi1osuOrM6SQIQ%3D%3D&position=11&pageNum=5&trk=public_jobs_jserp-result_search-card,3784875701,Khan Academy,https://www.linkedin.com/company/khan-academy?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mountain View, CA",2023-11-19
Robotics Field Service Engineer,https://www.linkedin.com/jobs/view/robotics-field-service-engineer-at-delta-staffing-3784438210?refId=KiIV5SxU7BEw6Y1IgoZ%2F9w%3D%3D&trackingId=VopCT%2FbhjYk%2BBD%2FJYdI1fg%3D%3D&position=12&pageNum=5&trk=public_jobs_jserp-result_search-card,3784438210,Delta Staffing,https://www.linkedin.com/company/delta-staffing?trk=public_jobs_jserp-result_job-search-card-subtitle,Atlanta Metropolitan Area,2023-12-19
Senior Mechanical Engineer,https://www.linkedin.com/jobs/view/senior-mechanical-engineer-at-aprilaire-3769018572?refId=KiIV5SxU7BEw6Y1IgoZ%2F9w%3D%3D&trackingId=ad4A9%2BVywjZhwSHZ1sMTmw%3D%3D&position=13&pageNum=5&trk=public_jobs_jserp-result_search-card,3769018572,AprilAire,https://www.linkedin.com/company/aprilaire?trk=public_jobs_jserp-result_job-search-card-subtitle,"Sun Prairie, WI",2023-12-19
IT Support Engineer,https://www.linkedin.com/jobs/view/it-support-engineer-at-hartzell-propeller-inc-3740559026?refId=KiIV5SxU7BEw6Y1IgoZ%2F9w%3D%3D&trackingId=KY9IOiL0Yf9FQYbYDTXcSA%3D%3D&position=14&pageNum=5&trk=public_jobs_jserp-result_search-card,3740559026,"Hartzell Propeller, Inc.",https://www.linkedin.com/company/hartzell-propeller?trk=public_jobs_jserp-result_job-search-card-subtitle,"Piqua, OH",2023-10-17
